OPEP;Africa;Nigeria;2212.231562;2009
NAO OPEP;Africa;Sudao;475.212463;2009
NAO OPEP;Africa;Sudao do Sul;0;2009
NAO OPEP;Africa;Tunisia;91.29221918;2009
NAO OPEP;Africa;Outros;181.477376;2009
NAO OPEP;Asia-Pacifico;Australia;507.1948589;2009
NAO OPEP;Asia-Pacifico;Brunei;168.3563348;2009
NAO OPEP;Asia-Pacifico;China;3805.374521;2009
NAO OPEP;Asia-Pacifico;India;816.1628219;2009
NAO OPEP;Asia-Pacifico;Indonesia;994.27064;2009
NAO OPEP;Asia-Pacifico;Malasia;691.0087671;2009
NAO OPEP;Asia-Pacifico;Tailandia;374.660006;2009
NAO OPEP;Asia-Pacifico;Vietna;341.4039452;2009
NAO OPEP;Asia-Pacifico;Outros;329.8876197;2009
NAO OPEP;America do Norte;Canada;3332.0798;2010
NAO OPEP;America do Norte;Estados Unidos;7549.188;2010
NAO OPEP;America do Norte;Mexico;2959.36648;2010
NAO OPEP;Americas Central e do Sul;Argentina;713.6436666;2010
NAO OPEP;Americas Central e do Sul;Brasil;2136.881737;2010
NAO OPEP;Americas Central e do Sul;Colombia;786.1118356;2010
OPEP;Americas Central e do Sul;Equador;488.0870101;2010
NAO OPEP;Americas Central e do Sul;Peru;157.5188027;2010
NAO OPEP;Americas Central e do Sul;Trinidad e Tobago;145.3675452;2010
OPEP;Americas Central e do Sul;Venezuela;2841.572027;2010
NAO OPEP;Americas Central e do Sul;Outros;140.3774506;2010
NAO OPEP;Europa e Eurasia;Azerbaijao;1036.716877;2010
NAO OPEP;Europa e Eurasia;Cazaquistao;1675.710346;2010
NAO OPEP;Europa e Eurasia;Dinamarca;249.4596007;2010
NAO OPEP;Europa e Eurasia;Italia;105.9409508;2010
NAO OPEP;Europa e Eurasia;Noruega;2136.590085;2010
NAO OPEP;Europa e Eurasia;Reino Unido;1355.546577;2010
NAO OPEP;Europa e Eurasia;Romenia;89.53994521;2010
NAO OPEP;Europa e Eurasia;Russia;10382.65823;2010
NAO OPEP;Europa e Eurasia;Turcomenistao;212.3764588;2010
NAO OPEP;Europa e Eurasia;Uzbequistao;77.71547507;2010
NAO OPEP;Europa e Eurasia;Outros;378.3496307;2010
OPEP;Oriente Medio;Arabia Saudita;10074.56922;2010
OPEP;Oriente Medio;Catar;1637.604666;2010
